image_id,Original_question,q_type,Mod_qns_Llava,image_url,Modified_question,Mod_qns_textinput,GT_answer
COCO_train2014_000000033303,Is this person happy?,Is this,Is this person happy while eating a piece of cake?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000033303.jpg,Is this person happy <span style='color:red'>while eating a piece of cake?</span>,Is this person happy <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000128929,Is there an egg carton on the counter?,Is there,Is there an egg carton on the counter next to the person?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000128929.jpg,Is there an egg carton on the counter <span style='color:red'>next to the person?</span>,Is there an egg carton on the counter <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000244816,Is this a restaurant toilet?,Is this,Is this a public restroom toilet?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000244816.jpg,Is this a <span style='color:red'>public restroom</span> toilet?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> toilet?,yes
COCO_train2014_000000532668,Is this outside?,Is this,Is this an outside scene with a ship in the background and large buildings nearby?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000532668.jpg,Is this <span style='color:red'>an</span> outside <span style='color:red'>scene with a ship in the background and large buildings nearby?</span>,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> outside <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000339312,Is this a bus?,Is this,Is this a bus in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000339312.jpg,Is this a bus <span style='color:red'>in the background?</span>,Is this a bus <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000348180,Is there big rocks here?,Is there,Is there big rocks in the field?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000348180.jpg,Is there big rocks <span style='color:red'>in the field?</span>,Is there big rocks <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000259677,Is there a steak on the plate?,Is there,"In this delicious-looking meal, is there a steak on the white plate with a generous portion of vegetables including broccoli and carrots?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000259677.jpg,"<span style='color:red'>In this delicious-looking meal,</span> is there a steak on the <span style='color:red'>white</span> plate <span style='color:red'>with a generous portion of vegetables including broccoli and carrots?</span>",<input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> is there a steak on the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> plate <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000292042,Is this woman straining to throw the frisbee?,Is this,Is this young woman running in a park while attempting to throw the frisbee?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000292042.jpg,Is this <span style='color:red'>young</span> woman <span style='color:red'>running in a park while attempting</span> to throw the frisbee?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> woman <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> to throw the frisbee?,no
COCO_train2014_000000146951,Is there an ocean in this picture?,Is there,"Is there an ocean in this picture, and if not, what natural body of water is present?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000146951.jpg,"Is there an ocean in this picture, <span style='color:red'>and if not, what natural body of water is present?</span>","Is there an ocean in this picture, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",no
COCO_train2014_000000436685,Is the person pictured female?,Is the,Is the person pictured on skis?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000436685.jpg,Is the person pictured <span style='color:red'>on skis?</span>,Is the person pictured <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000521205,Is the dog hungry?,Is the,"In the image, is the dog lying in the dog bed?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000521205.jpg,"<span style='color:red'>In the image,</span> is the dog <span style='color:red'>lying in the dog bed?</span>",<input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> is the dog <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000073922,Is there a cardinal in the tree?,Is there,Is there a red cardinal in the tree?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000073922.jpg,Is there a <span style='color:red'>red</span> cardinal in the tree?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> cardinal in the tree?,no
COCO_train2014_000000481974,Is there a water body?,Is there,Is there a visible water body in this image?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000481974.jpg,Is there a <span style='color:red'>visible</span> water body <span style='color:red'>in this image?</span>,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> water body <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000160586,Is this boat in a race?,Is this,"Is this boat, which is on water, in a race?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000160586.jpg,"Is this boat, <span style='color:red'>which is on water,</span> in a race?","Is this boat, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> in a race?",no
COCO_train2014_000000568424,Is the ceiling angled?,Is the,Is the ceiling angled?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000568424.jpg,Is the ceiling angled?,Is the ceiling angled?,yes
COCO_train2014_000000479263,Is the street called Broadway?,Is the,Is the sign for Times Square in New York City?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000479263.jpg,Is the <span style='color:red'>sign for Times Square in New York City?</span>,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000424539,Is the pizza hot?,Is the,Is the pizza hot and topped with basil?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000424539.jpg,Is the pizza hot <span style='color:red'>and topped with basil?</span>,Is the pizza hot <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000343853,Is there any children in the picture?,Is there,Is there any small children in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000343853.jpg,Is there any <span style='color:red'>small</span> children in the picture?,Is there any <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> children in the picture?,yes
COCO_train2014_000000506821,Is the giraffe fenced in?,Is the,Is the giraffe fenced in and visible from a distance?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000506821.jpg,Is the giraffe fenced in <span style='color:red'>and visible from a distance?</span>,Is the giraffe fenced in <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000503832,Is this a park?,Is this,Is this a park at the zoo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000503832.jpg,Is this a park <span style='color:red'>at the zoo?</span>,Is this a park <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000132889,Is the tablecloth checkered?,Is the,Is the tablecloth checkered and red?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000132889.jpg,Is the tablecloth checkered <span style='color:red'>and red?</span>,Is the tablecloth checkered <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000526082,Is this man posing for the photo?,Is this,Is this man posing for the photo while on a snowboard?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000526082.jpg,Is this man posing for the photo <span style='color:red'>while on a snowboard?</span>,Is this man posing for the photo <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000229312,Is there an airplane?,Is there,Is there a flying airplane?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000229312.jpg,Is there <span style='color:red'>a flying</span> airplane?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> airplane?,yes
COCO_train2014_000000007838,Is there at least one bottle by the bench?,Is there,Is there at least one bottle near the bench?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000007838.jpg,Is there at least one bottle <span style='color:red'>near</span> the bench?,Is there at least one bottle <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the bench?,yes
COCO_train2014_000000352938,Is this picture taken in a train yard?,Is this,Is this picture taken in a busy train yard?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000352938.jpg,Is this picture taken in a <span style='color:red'>busy</span> train yard?,Is this picture taken in a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> train yard?,no
COCO_train2014_000000205858,Is the giraffe foraging?,Is the,Is the giraffe foraging in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000205858.jpg,Is the giraffe foraging <span style='color:red'>in the background?</span>,Is the giraffe foraging <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000038543,Is the man sleeping on top of a fence?,Is the,Is the man sitting on a bench in a park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000038543.jpg,Is the man <span style='color:red'>sitting</span> on <span style='color:red'></span> a <span style='color:red'>bench in a park?</span>,Is the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> on <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000273103,Is this a new computer?,Is this,Is this a new computer that is placed on a desk?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000273103.jpg,Is this a new computer <span style='color:red'>that is placed on a desk?</span>,Is this a new computer <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000363145,Is there a reflection in the mirror?,Is there,Is there a reflection in the mirror?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000363145.jpg,Is there a reflection in the mirror?,Is there a reflection in the mirror?,yes
COCO_train2014_000000558378,Is there a couch in the room?,Is there,"Is there a couch in the room, near the table?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000558378.jpg,"Is there a couch in the room, <span style='color:red'>near the window?</span>","Is there a couch in the room, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000342942,Is this animal on the first floor?,Is this,Is this animal on the first floor?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000342942.jpg,Is this animal on the first floor?,Is this animal on the first floor?,no
COCO_train2014_000000025996,Is the child preparing to ski?,Is the,Is the child preparing to ski?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025996.jpg,Is the child preparing to ski?,Is the child preparing to ski?,no
COCO_train2014_000000277403,Is the airplane on the ground?,Is the,Is the large airplane on the ground?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000277403.jpg,Is the <span style='color:red'>large</span> airplane on the ground?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> airplane on the ground?,no
COCO_train2014_000000525591,Is there a lake in the background?,Is there,Is there a large body of water in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000525591.jpg,Is there a <span style='color:red'>large body of water</span> in the background?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> in the background?,no
COCO_train2014_000000079269,Is this a photo in a store?,Is this,Is this a photo in a store refrigerator?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000079269.jpg,Is this a photo in a store <span style='color:red'>refrigerator?</span>,Is this a photo in a store <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000177974,Is the screen locked?,Is the,Is the screen locked atop the desk?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000177974.jpg,Is the screen locked <span style='color:red'>atop the desk?</span>,Is the screen locked <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000559754,Is this a double parking meter?,Is this,Is this a double parking meter?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000559754.jpg,Is this a double parking meter?,Is this a double parking meter?,no
COCO_train2014_000000396725,Is there food in the image?,Is there,In what location is the food in the image?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000396725.jpg,<span style='color:red'>In what location</span> is <span style='color:red'>the</span> food in the image?,<input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> is <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> food in the image?,yes
COCO_train2014_000000080599,Is this a Continental breakfast?,Is this,Is this a Continental breakfast with pizza slices on the table?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000080599.jpg,Is this a Continental breakfast <span style='color:red'>with pizza slices on the table?</span>,Is this a Continental breakfast <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000218011,Is the suitcase open?,Is the,Is this a full-size Louis Vuitton suitcase?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000218011.jpg,Is <span style='color:red'>this a full-size Louis Vuitton</span> suitcase? <span style='color:red'></span>,Is <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> suitcase? <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000090810,Is there a place to dispose of garbage?,Is there,Is there a place to dispose of garbage in the bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000090810.jpg,Is there a place to dispose of garbage <span style='color:red'>in the bathroom?</span>,Is there a place to dispose of garbage <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000309135,Is the little zebra looking at the camera?,Is the,Is the baby zebra looking at the camera?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000309135.jpg,Is the <span style='color:red'>baby</span> zebra looking at the camera?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> zebra looking at the camera?,no
COCO_train2014_000000382655,Is there an open window?,Is there,Is there an open window in the room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000382655.jpg,Is there an open window <span style='color:red'>in the room?</span>,Is there an open window <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000068084,Is the glass filled with water?,Is the,Is the blue glass filled with clear water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000068084.jpg,Is the glass filled with <span style='color:red'>blue</span> water?,Is the glass filled with <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> water?,yes
COCO_train2014_000000440675,Is this person wearing shorts?,Is this,Is this person wearing a pair of shorts?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000440675.jpg,Is this person wearing <span style='color:red'>a pair of</span> shorts?,Is this person wearing <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> shorts?,no
COCO_train2014_000000425063,Is there an even number of donuts or an odd number?,Is there,Is there an even number of donuts or an odd number in the box?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000425063.jpg,Is there an even number of donuts or an odd number <span style='color:red'>in the box?</span>,Is there an even number of donuts or an odd number <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,even
COCO_train2014_000000040796,Is the sign telling people instructions?,Is the,Is the sign providing instructions for pedestrians?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000040796.jpg,Is the sign <span style='color:red'>providing</span> instructions <span style='color:red'>for pedestrians?</span>,Is the sign <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> instructions <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000480415,Is the plane on the runway?,Is the,Is the large passenger plane landing on the runway?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000480415.jpg,Is the <span style='color:red'>large passenger</span> plane <span style='color:red'>landing</span> on the runway?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> plane <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> on the runway?,yes
COCO_train2014_000000054327,Is the building a cathedral?,Is the,"Is the cathedral a large, prominent building?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000054327.jpg,"Is the <span style='color:red'>cathedral a large, prominent</span> building? <span style='color:red'></span>",Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> building? <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000420079,Is this outdoors?,Is this,Is this red fire hydrant located outdoors?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000420079.jpg,Is this <span style='color:red'>red fire hydrant located</span> outdoors?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> outdoors?,yes
COCO_train2014_000000097951,Is the motorcycle parked correctly according to law?,Is the,Is the police motorcycle parked legally in relation to the white car?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000097951.jpg,Is the <span style='color:red'>police</span> motorcycle parked <span style='color:red'>legally in relation</span> to <span style='color:red'>the white car?</span>,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> motorcycle parked <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> to <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000107535,Is there a streetcar in this picture?,Is there,Is there a streetcar in the background of the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000107535.jpg,Is there a streetcar in <span style='color:red'>the background of the</span> picture?,Is there a streetcar in <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> picture?,yes
COCO_train2014_000000285488,Is this a Japanese restaurant?,Is this,Is this a Japanese restaurant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000285488.jpg,Is this a Japanese restaurant?,Is this a Japanese restaurant?,yes
COCO_train2014_000000269422,Is the snow smooth?,Is the,Is the snow on top of the mountain smooth?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000269422.jpg,Is the snow <span style='color:red'>on top of the mountain</span> smooth?,Is the snow <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> smooth?,yes
COCO_train2014_000000455658,Is the horse being kissed?,Is the,Is this horse being kissed near the water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000455658.jpg,Is <span style='color:red'>this a black and white horse racing near</span> the <span style='color:red'>water?</span>,Is <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000528189,Is this cow full-grown?,Is this,Is this cow full-grown and standing in the middle of the field?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000528189.jpg,Is this cow <span style='color:red'>full-grown and standing in the middle of the field?</span>,Is this cow <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000187200,Is this a commercial port or one used more for pleasure boating?,Is this,Is this a commercial port or one used more for pleasure boating with boats docked in the water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000187200.jpg,Is this a commercial port or one used more for pleasure boating <span style='color:red'>with boats docked in the water?</span>,Is this a commercial port or one used more for pleasure boating <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,pleasure
COCO_train2014_000000375256,Is this a handwritten sign?,Is this,Is this a handwritten sign?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000375256.jpg,Is this a handwritten sign?,Is this a handwritten sign?,yes
COCO_train2014_000000398191,Is the photo colorful?,Is the,Is the photo vividly colorful?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000398191.jpg,Is the photo <span style='color:red'>vividly</span> colorful?,Is the photo <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> colorful?,yes
COCO_train2014_000000344138,Is the bread toaster?,Is the,Is there bread toaster on the table?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000344138.jpg,<span style='color:red'>In what direction are you going?</span>,<input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000172834,Is there any kitchen in the photo?,Is there,Is there any kitchen in this photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000172834.jpg,Is there any kitchen in <span style='color:red'>this</span> photo?,Is there any kitchen in <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> photo?,no
COCO_train2014_000000370152,Is the hand providing shade?,Is the,Is the hand providing shade to the person's face?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000370152.jpg,Is the hand providing shade <span style='color:red'>to the person's face?</span>,Is the hand providing shade <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000244293,Is the horse moving faster than the man on the bike?,Is the,Is the horse moving faster than the man on the bike crossing the street?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000244293.jpg,Is the horse moving faster than the man on the bike <span style='color:red'>crossing the street?</span>,Is the horse moving faster than the man on the bike <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000397138,Is the book on the bed open?,Is the,Is the book on the bed open?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000397138.jpg,Is the book on the bed open?,Is the book on the bed open?,no
COCO_train2014_000000400576,Is this a desktop or laptop?,Is this,Is this a desktop or laptop computer placed on a desk?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000400576.jpg,Is this a desktop or laptop <span style='color:red'>computer placed on a desk?</span>,Is this a desktop or laptop <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,laptop
COCO_train2014_000000540229,Is the crowd full?,Is the,Is the crowd fully seated?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000540229.jpg,Is the crowd <span style='color:red'>fully seated?</span>,Is the crowd <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000158233,Is this a balanced meal?,Is this,Is this a balanced meal in terms of portion size and variety?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000158233.jpg,Is this a balanced meal <span style='color:red'>in terms of portion size and variety?</span>,Is this a balanced meal <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000138234,Is the elephant in water?,Is the,Is the elephant walking through water in its natural habitat?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000138234.jpg,Is the elephant <span style='color:red'>walking through water</span> in <span style='color:red'>its natural habitat?</span>,Is the elephant <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> in <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000114027,Is this man a professional?,Is this,Is this man a professional tennis player?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000114027.jpg,Is this man a professional <span style='color:red'>tennis player?</span>,Is this man a professional <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000466491,Is there anything unique about the man's shoes?,Is there,"Is there anything unique about the man's shoes, lying on the bed?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000466491.jpg,"Is there anything unique about the <span style='color:red'>man's</span> shoes, <span style='color:red'>lying on the bed?</span>","Is there anything unique about the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> shoes, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000518686,Is there a fireplace?,Is there,Is there a fireplace?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000518686.jpg,Is there a fireplace?,Is there a fireplace?,yes
COCO_train2014_000000461496,Is the woman wearing pants?,Is the,Is the woman wearing blue pants while riding a bike near a city bus?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000461496.jpg,Is the woman wearing <span style='color:red'>blue</span> pants <span style='color:red'>while riding a bike near a city bus?</span>,Is the woman wearing <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> pants <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000145502,Is this a beach party?,Is this,Is this a beach party near a kite-filled sky?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000145502.jpg,Is this a beach party <span style='color:red'>near a kite-filled sky?</span>,Is this a beach party <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000354290,Is the computer plugged in?,Is the,Is the computer plugged in and turned on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000354290.jpg,Is the computer plugged in <span style='color:red'>and turned on?</span>,Is the computer plugged in <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000260010,Is the woman in the background cold?,Is the,"In the background of the image, is the woman cold?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000260010.jpg,"<span style='color:red'>In the background of the image,</span> is the woman <span style='color:red'></span> cold?",<input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> is the woman <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> cold?,yes
COCO_train2014_000000257517,Is there any sweet candy shown?,Is there,"Is there any sweet, colorful candy shown?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000257517.jpg,"Is there any sweet, <span style='color:red'>colorful</span> candy shown?","Is there any sweet, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> candy shown?",yes
COCO_train2014_000000364385,Is the toilet lid down?,Is the,Is the toilet lid down in this bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000364385.jpg,Is the toilet lid down <span style='color:red'>in this bathroom?</span>,Is the toilet lid down <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
